trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
79,LONG,SL,2026-03-30 04:05:00,2026-03-30 04:35:00,67376.98,67405.87,28.89,7493.64
80,SHORT,SL,2026-03-30 17:20:00,2026-03-30 17:40:00,66848.02,66838.83,9.19,7502.83
81,LONG,SL,2026-03-31 01:15:00,2026-03-31 01:40:00,67299.34,68017.24,717.90,8220.73
82,SHORT,SL,2026-03-31 08:40:00,2026-03-31 10:05:00,66875.58,66169.88,705.70,8926.43
83,LONG,SL,2026-03-31 13:50:00,2026-03-31 14:05:00,67321.13,67186.81,-134.32,8792.11
84,SHORT,SL,2026-03-31 14:45:00,2026-03-31 15:00:00,66988.16,66685.60,302.56,9094.67
85,LONG,SL,2026-03-31 16:40:00,2026-03-31 16:45:00,67853.55,67717.88,-135.67,8959.01
86,SHORT,SL,2026-03-31 16:45:00,2026-03-31 16:50:00,67517.15,67652.27,-135.12,8823.88
87,LONG,SL,2026-03-31 17:10:00,2026-03-31 17:25:00,67956.22,68140.65,184.43,9008.32
88,SHORT,SL,2026-03-31 17:40:00,2026-03-31 18:00:00,67641.07,67560.90,80.17,9088.48
89,LONG,SL,2026-03-31 19:10:00,2026-03-31 19:35:00,67945.22,67809.56,-135.66,8952.82
90,SHORT,SL,2026-04-01 02:25:00,2026-04-01 03:05:00,67602.42,67718.47,-116.05,8836.77
91,LONG,SL,2026-04-01 03:10:00,2026-04-01 05:55:00,67966.96,68403.80,436.84,9273.60
92,SHORT,SL,2026-04-02 01:15:00,2026-04-02 01:25:00,67509.84,67517.64,-7.80,9265.80
93,LONG,SL,2026-04-05 22:45:00,2026-04-05 23:40:00,68008.40,68900.69,892.29,10158.09
